u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,bearing,layer_height,stroke_group,edge_interior_angle
378471,258358061,0,"[537689832, 785306583, 537689831]",True,"['3', '4']",B221,Lerchenfelder Gürtel,primary,50,87.08399999999999,"LINESTRING (16.3385974 48.2093899, 16.3385362 48.2091718, 16.3382498 48.2087579, 16.3382307 48.2087307, 16.3382115 48.2087035, 16.3381825 48.2086624)",200.8,height 2,0,"{(25280481, 378471, 0): 85.37599999999999, (33079214, 378471, 0): 172.111, (258358061, 258358062, 0): 125.487, (258358061, 17312836, 0): 176.537, (2423397431, 258358061, 0): 56.858}"
378472,33079222,0,4986564,True,,,Gaullachergasse,residential,30,371.321,"LINESTRING (16.338667 48.2115728, 16.3384595 48.2115919, 16.3361475 48.2118047, 16.3337067 48.2120473)",278.2,height 1,1,"{(378472, 33079214, 0): 97.48100000000001, (33079216, 378472, 0): 88.695, (33079222, 24966975, 0): 87.489, (33079222, 221890042, 0): 179.18699999999998, (33079223, 33079222, 0): 96.218}"
378472,33079214,0,"[810647296, 537689830]",True,4,B221,Lerchenfelder Gürtel,primary,50,91.56999999999998,"LINESTRING (16.338667 48.2115728, 16.3386746 48.2113769, 16.3386774 48.2113043, 16.3386961 48.211092, 16.3386994 48.2110201, 16.3387005 48.2109972, 16.338708 48.2108967, 16.3387095 48.2108768, 16.3387107 48.2108605, 16.338719 48.2107501)",177.6,height 2,0,"{(378472, 33079222, 0): 97.48100000000001, (33079214, 293267450, 0): 130.88400000000001, (33079214, 378471, 0): 173.25799999999998, (33079216, 378472, 0): 173.824, (33079223, 33079214, 0): 73.531}"
378630,378629,0,"[219430762, 4996510]",True,,,Feßtgasse,secondary,50,69.679,"LINESTRING (16.3254075 48.211218, 16.3253946 48.2111621, 16.3253764 48.2111085, 16.3253572 48.2110517, 16.3252281 48.2106773, 16.3252078 48.2106183, 16.3252037 48.2106064)",192.5,height 2,2,"{(24966938, 378630, 0): 166.176, (32637459, 378629, 0): 100.054, (32637460, 378629, 0): 79.994, (33242286, 378630, 0): 94.309}"
378642,33079254,0,4986585,True,,,Blumberggasse,residential,30,70.209,"LINESTRING (16.3271266 48.21031, 16.3271313 48.2103242, 16.3271487 48.2103764, 16.327313 48.2108712, 16.3272905 48.2109258)",10.1,height 2,3,"{(17312826, 378642, 0): 80.281, (32637460, 378642, 0): 99.41799999999999, (33079254, 33079252, 0): 104.105, (33079254, 33079245, 0): 169.68, (33242286, 33079254, 0): 121.32199999999999}"
378696,33143911,0,8096263,True,2,,Jörgerstraße,secondary,50,94.143,"LINESTRING (16.3416682 48.2173376, 16.3415519 48.2173536, 16.3404235 48.2175079)",281.6,height 1,4,"{(378696, 685163, 0): 71.268, (378699, 378696, 0): 179.916, (33143911, 33143667, 0): 103.496, (33143911, 33143898, 0): 55.348, (33143911, 33144821, 0): 179.675, (3312560802, 378696, 0): 105.68900000000001}"
378696,685163,0,"[384292260, 384292261]",True,"['4', '5']",B221,Hernalser Gürtel,primary,50,98.629,"LINESTRING (16.3416682 48.2173376, 16.3416279 48.217257, 16.341615 48.2172312, 16.3416003 48.2172017, 16.3415386 48.2170772, 16.3414824 48.2169685, 16.3413137 48.2166423, 16.3412881 48.2165928, 16.3412394 48.2164979)",198.8,height 2,0,"{(378696, 33143911, 0): 71.268, (378699, 378696, 0): 108.816, (685163, 33144880, 0): 178.289, (685163, 685164, 0): 74.144, (33143667, 685163, 0): 104.45599999999999, (3312560802, 378696, 0): 176.957}"
378699,33144414,0,23311963,True,3,B221,Währinger Gürtel,primary,50,130.102,"LINESTRING (16.3424207 48.2172288, 16.3424441 48.2172833, 16.3424708 48.2173351, 16.3428515 48.2182304, 16.3428721 48.2182789, 16.3429038 48.2183536)",16.0,height 2,5,"{(378699, 378696, 0): 105.16399999999999, (33144412, 378699, 0): 77.75, (33144414, 3312560802, 0): 70.28399999999999, (33144414, 33345332, 0): 179.91500000000002, (33144416, 33144414, 0): 103.269, (2335589819, 378699, 0): 176.867}"
378699,378696,0,146985785,True,3,,Hernalser Gürtel,secondary,50,57.05500000000001,"LINESTRING (16.3424207 48.2172288, 16.342322 48.2172428, 16.3420185 48.2172859, 16.3419731 48.2172925, 16.3419537 48.2172953, 16.3418897 48.2173049, 16.3418378 48.2173127, 16.3417946 48.2173204, 16.3416682 48.2173376)",282.2,height 1,4,"{(378696, 33143911, 0): 179.916, (378696, 685163, 0): 108.816, (378699, 33144414, 0): 105.16399999999999, (33144412, 378699, 0): 177.086, (2335589819, 378699, 0): 71.703, (3312560802, 378696, 0): 74.22699999999999}"
378700,33144419,0,15792888,True,,,Meynertgasse,residential,30,139.158,"LINESTRING (16.3445443 48.2168208, 16.3445045 48.2169169, 16.3444914 48.2170127, 16.3445711 48.2180235, 16.3445798 48.2180665)",1.1,height 2,6,"{(33144419, 33144416, 0): 88.277, (33144419, 33182073, 0): 91.506, (33182067, 378700, 0): 159.016, (33182070, 378700, 0): 96.766, (2335589805, 378700, 0): 111.484}"
378721,980744161,0,216685763,True,,,Spitalgasse,secondary,50,53.251,"LINESTRING (16.3516278 48.2188901, 16.3515584 48.2187382, 16.3515004 48.2185928, 16.3514411 48.2184278)",195.1,height 2,7,"{(359131237, 980744161, 0): 69.263, (359131237, 378721, 0): 79.226, (915829192, 378721, 0): 142.014, (980744161, 75605497, 0): 168.138, (2507395459, 378721, 0): 178.29}"
378727,26405238,0,8105896,True,1,,Fuchsthallergasse,secondary,50,74.57,"LINESTRING (16.3498014 48.2250679, 16.3499189 48.2250508, 16.3507849 48.224925)",102.3,height 1,8,"{(378727, 33302019, 0): 87.004, (26405238, 33302007, 0): 97.354, (26405238, 33345337, 0): 83.084, (26405238, 28982559, 0): 172.34099999999998, (213287623, 378727, 0): 94.76, (1371563077, 378727, 0): 179.045}"
378727,33302019,0,378265328,True,4,B221,Währinger Gürtel,primary,50,51.817,"LINESTRING (16.3498014 48.2250679, 16.3498142 48.2251321, 16.3499112 48.2255281)",9.0,height 2,5,"{(378727, 26405238, 0): 87.004, (33302019, 33302007, 0): 97.98299999999999, (33302019, 392847, 0): 177.185, (213287623, 378727, 0): 178.236, (1371563077, 378727, 0): 93.951}"
