u,v,key,geometry,stroke_group,edge_interior_angle,int_bearing_diff
1371563077,655018,0,"LINESTRING (16.3490743 48.2251617, 16.3490547 48.2250735, 16.3490521 48.225062, 16.349047 48.2250401, 16.3490275 48.224957, 16.3489856 48.224757, 16.3489752 48.2247168, 16.3489668 48.2246787, 16.3489559 48.2246299, 16.3489507 48.2246067)",0,"{(655018, 33344802, 0): 179.90500000000003, (378727, 1371563077, 0): 94.192, (392442, 655018, 0): 97.023, (655018, 1629378075, 0): 83.033, (655032, 1371563077, 0): 178.381, (1371563077, 394751, 0): 84.387}",0
655018,33344802,0,"LINESTRING (16.3489507 48.2246067, 16.348936 48.2245406, 16.3487916 48.223925, 16.3487801 48.2238761, 16.34876 48.223823, 16.3487271 48.2237571, 16.3486624 48.2236635, 16.3485806 48.2235717, 16.348471 48.2234575, 16.3484019 48.2233959, 16.3482463 48.223282, 16.348131 48.2232163, 16.3480123 48.2231663, 16.3478722 48.2231225, 16.3473009 48.2229672)",0,"{(1371563077, 655018, 0): 179.90500000000003, (33344802, 33344801, 0): 179.65, (392442, 655018, 0): 83.072, (655018, 1629378075, 0): 96.872, (33344802, 33344805, 0): 106.857}",59
33344802,33344801,0,"LINESTRING (16.3473009 48.2229672, 16.3467355 48.2228172, 16.3461958 48.2226739)",0,"{(655018, 33344802, 0): 179.65, (33344801, 655012, 0): 179.989, (33344802, 33344805, 0): 72.793, (33344806, 33344801, 0): 105.91799999999999}",0
33344801,655012,0,"LINESTRING (16.3461958 48.2226739, 16.3449313 48.2223384)",0,"{(33344802, 33344801, 0): 179.989, (655012, 283324403, 0): 179.421, (33344806, 33344801, 0): 74.071, (655012, 33144500, 0): 106.325}",0
655012,283324403,0,"LINESTRING (16.3449313 48.2223384, 16.3447934 48.2223033, 16.3443174 48.2221823, 16.3439547 48.2220773, 16.3438802 48.2220571, 16.3437657 48.2220195, 16.3436893 48.2219893, 16.3436387 48.2219642, 16.3436212 48.2219556)",0,"{(33344801, 655012, 0): 179.421, (283324403, 29048465, 0): 169.155, (655012, 33144500, 0): 73.096, (358517297, 283324403, 0): 119.878}",16
283324403,29048465,0,"LINESTRING (16.3436212 48.2219556, 16.3435773 48.2219225, 16.343526 48.2218585, 16.3434955 48.2218032, 16.3434288 48.2216728, 16.3432345 48.2212031, 16.3431569 48.2210156)",0,"{(655012, 283324403, 0): 169.155, (29048465, 33144366, 0): 179.999, (358517297, 283324403, 0): 70.967, (29048466, 29048465, 0): 103.87700000000001}",26
29048465,33144366,0,"LINESTRING (16.3431569 48.2210156, 16.3429362 48.2204823, 16.3427415 48.2200116)",0,"{(283324403, 29048465, 0): 179.999, (33144366, 3312560802, 0): 178.973, (29048466, 29048465, 0): 76.124, (33144366, 33143888, 0): 102.092}",0
33144366,3312560802,0,"LINESTRING (16.3427415 48.2200116, 16.3423447 48.2190014, 16.3423373 48.2189826, 16.3421877 48.2186017, 16.3421658 48.2185459, 16.3421405 48.2184919)",0,"{(29048465, 33144366, 0): 178.973, (3312560802, 378696, 0): 175.997, (33144366, 33143888, 0): 78.935, (33143898, 3312560802, 0): 106.037, (3312560802, 33144414, 0): 91.129}",3
3312560802,378696,0,"LINESTRING (16.3421405 48.2184919, 16.3421148 48.2184253, 16.3418227 48.2177125, 16.3417073 48.2174293, 16.3416951 48.2173994, 16.3416682 48.2173376)",0,"{(33144366, 3312560802, 0): 175.997, (378696, 685163, 0): 176.957, (33143898, 3312560802, 0): 77.96600000000001, (3312560802, 33144414, 0): 84.868, (378699, 378696, 0): 74.22699999999999, (378696, 33143911, 0): 105.68900000000001}",2
378696,685163,0,"LINESTRING (16.3416682 48.2173376, 16.3416279 48.217257, 16.341615 48.2172312, 16.3416003 48.2172017, 16.3415386 48.2170772, 16.3414824 48.2169685, 16.3413137 48.2166423, 16.3412881 48.2165928, 16.3412394 48.2164979)",0,"{(3312560802, 378696, 0): 176.957, (685163, 33144880, 0): 178.289, (378699, 378696, 0): 108.816, (378696, 33143911, 0): 71.268, (33143667, 685163, 0): 104.45599999999999, (685163, 685164, 0): 74.144}",0
685163,33144880,0,"LINESTRING (16.3412394 48.2164979, 16.3411939 48.2164154, 16.3409857 48.2160282, 16.3408749 48.2158223)",0,"{(378696, 685163, 0): 178.289, (33143667, 685163, 0): 73.833, (685163, 685164, 0): 107.56700000000001, (33144883, 33144880, 0): 113.178, (33144880, 2605251628, 0): 178.258}",0
2605251628,33079217,0,"LINESTRING (16.3404639 48.2150877, 16.3404365 48.2150387, 16.339939 48.2141005)",0,"{(33079217, 33079191, 0): 179.36100000000002, (2455074398, 2605251628, 0): 126.519, (2605251628, 2605251576, 0): 114.297, (33079198, 33079217, 0): 119.315, (33079217, 33143763, 0): 115.879, (33144880, 2605251628, 0): 176.121}",1
33079217,33079191,0,"LINESTRING (16.339939 48.2141005, 16.3394444 48.2131924)",0,"{(2605251628, 33079217, 0): 179.36100000000002, (33079191, 33079216, 0): 178.875, (33079198, 33079217, 0): 117.196, (33079217, 33143763, 0): 120.63199999999999, (33079193, 33079191, 0): 117.456, (33079191, 33143803, 0): 63.559}",0
33079191,33079216,0,"LINESTRING (16.3394444 48.2131924, 16.3392147 48.2127502, 16.3389796 48.2122975, 16.338967 48.2122732, 16.3389164 48.2121758)",0,"{(33079217, 33079191, 0): 178.875, (33079216, 378472, 0): 175.24599999999998, (33079193, 33079191, 0): 63.669, (33079191, 33143803, 0): 115.316, (33079211, 33079216, 0): 114.626, (33079216, 33079194, 0): 112.79899999999999}",0
33079216,378472,0,"LINESTRING (16.3389164 48.2121758, 16.3388599 48.2120861, 16.3387583 48.2119339, 16.3387072 48.2118058, 16.3386756 48.2116962, 16.3386743 48.2116775, 16.3386732 48.2116613, 16.33867 48.2116162, 16.338667 48.2115728)",0,"{(33079191, 33079216, 0): 175.24599999999998, (378472, 33079214, 0): 173.824, (33079211, 33079216, 0): 125.032, (33079216, 33079194, 0): 62.446999999999996, (378472, 33079222, 0): 88.695}",20
378472,33079214,0,"LINESTRING (16.338667 48.2115728, 16.3386746 48.2113769, 16.3386774 48.2113043, 16.3386961 48.211092, 16.3386994 48.2110201, 16.3387005 48.2109972, 16.338708 48.2108967, 16.3387095 48.2108768, 16.3387107 48.2108605, 16.338719 48.2107501)",0,"{(33079216, 378472, 0): 173.824, (33079214, 378471, 0): 173.25799999999998, (378472, 33079222, 0): 97.48100000000001, (33079223, 33079214, 0): 73.531, (33079214, 33079213, 0): 130.88400000000001}",1
