osmid,y,x,street_count,highway,geometry
378471,48.2093899,16.3385974,3,,POINT (16.3385974 48.2093899)
378472,48.2115728,16.338667,3,,POINT (16.338667 48.2115728)
378629,48.2106064,16.3252037,4,traffic_signals,POINT (16.3252037 48.2106064)
378630,48.211218,16.3254075,3,,POINT (16.3254075 48.211218)
378642,48.21031,16.3271266,4,,POINT (16.3271266 48.21031)
378696,48.2173376,16.3416682,4,,POINT (16.3416682 48.2173376)
378699,48.2172288,16.3424207,4,,POINT (16.3424207 48.2172288)
378700,48.2168208,16.3445443,4,,POINT (16.3445443 48.2168208)
378701,48.2174711,16.3462268,3,,POINT (16.3462268 48.2174711)
378720,48.2177309,16.3498011,3,,POINT (16.3498011 48.2177309)
378721,48.2188901,16.3516278,4,,POINT (16.3516278 48.2188901)
378727,48.2250679,16.3498014,4,,POINT (16.3498014 48.2250679)
378728,48.2236212,16.34944,3,,POINT (16.34944 48.2236212)
392224,48.2221545,16.3333166,4,,POINT (16.3333166 48.2221545)
392251,48.226886,16.3436724,4,,POINT (16.3436724 48.226886)
392301,48.2222852,16.3416439,4,traffic_signals,POINT (16.3416439 48.2222852)
392442,48.224684,16.3479451,4,,POINT (16.3479451 48.224684)
392847,48.2260095,16.3500044,4,,POINT (16.3500044 48.2260095)
393097,48.228131,16.3365477,4,crossing,POINT (16.3365477 48.228131)
393373,48.2262225,16.3482783,4,traffic_signals,POINT (16.3482783 48.2262225)
393375,48.2283981,16.3346608,3,,POINT (16.3346608 48.2283981)
393924,48.2229689,16.3340208,4,,POINT (16.3340208 48.2229689)
394171,48.2280425,16.338237,3,,POINT (16.338237 48.2280425)
394751,48.2253177,16.3480705,4,,POINT (16.3480705 48.2253177)
394989,48.226846,16.335796,4,,POINT (16.335796 48.226846)
401838,48.2251301,16.3420541,4,traffic_signals,POINT (16.3420541 48.2251301)
655012,48.2223384,16.3449313,3,,POINT (16.3449313 48.2223384)
655018,48.2246067,16.3489507,4,,POINT (16.3489507 48.2246067)
655032,48.2260964,16.3492475,4,,POINT (16.3492475 48.2260964)
670011,48.2096336,16.3392716,3,,POINT (16.3392716 48.2096336)
685158,48.2152903,16.345685,4,,POINT (16.345685 48.2152903)
685159,48.2171175,16.337242,4,traffic_signals,POINT (16.337242 48.2171175)
685160,48.2169634,16.3389994,4,traffic_signals,POINT (16.3389994 48.2169634)
685161,48.2160075,16.3434676,3,,POINT (16.3434676 48.2160075)
685163,48.2164979,16.3412394,4,,POINT (16.3412394 48.2164979)
685164,48.2163426,16.34195,4,,POINT (16.34195 48.2163426)
685166,48.2181904,16.3307416,4,traffic_signals,POINT (16.3307416 48.2181904)
685167,48.2180313,16.3323462,4,,POINT (16.3323462 48.2180313)
685169,48.2159307,16.3267495,3,,POINT (16.3267495 48.2159307)
16614540,48.2094137,16.3330136,4,traffic_signals,POINT (16.3330136 48.2094137)
16614541,48.2092769,16.333911,3,,POINT (16.333911 48.2092769)
17312826,48.2101643,16.3280906,4,,POINT (16.3280906 48.2101643)
17312836,48.2085805,16.3381316,4,,POINT (16.3381316 48.2085805)
17312837,48.2084499,16.3388375,4,,POINT (16.3388375 48.2084499)
17312860,48.207556,16.3434482,4,traffic_signals,POINT (16.3434482 48.207556)
17312861,48.208421,16.339313,4,,POINT (16.339313 48.208421)
24966938,48.2116633,16.3253329,3,,POINT (16.3253329 48.2116633)
