osmid,y,x,geometry
655032,48.2260964,16.3492475,POINT (16.3492475 48.2260964)
1371563077,48.2251617,16.3490743,POINT (16.3490743 48.2251617)
655018,48.2246067,16.3489507,POINT (16.3489507 48.2246067)
33344802,48.2229672,16.3473009,POINT (16.3473009 48.2229672)
33344801,48.2226739,16.3461958,POINT (16.3461958 48.2226739)
655012,48.2223384,16.3449313,POINT (16.3449313 48.2223384)
283324403,48.2219556,16.3436212,POINT (16.3436212 48.2219556)
29048465,48.2210156,16.3431569,POINT (16.3431569 48.2210156)
33144366,48.2200116,16.3427415,POINT (16.3427415 48.2200116)
3312560802,48.2184919,16.3421405,POINT (16.3421405 48.2184919)
378696,48.2173376,16.3416682,POINT (16.3416682 48.2173376)
685163,48.2164979,16.3412394,POINT (16.3412394 48.2164979)
33144880,48.2158223,16.3408749,POINT (16.3408749 48.2158223)
2605251628,48.2150877,16.3404639,POINT (16.3404639 48.2150877)
33079217,48.2141005,16.339939,POINT (16.339939 48.2141005)
33079191,48.2131924,16.3394444,POINT (16.3394444 48.2131924)
33079216,48.2121758,16.3389164,POINT (16.3389164 48.2121758)
378472,48.2115728,16.338667,POINT (16.338667 48.2115728)
33079214,48.2107501,16.338719,POINT (16.338719 48.2107501)
378471,48.2093899,16.3385974,POINT (16.3385974 48.2093899)
258358061,48.2086624,16.3381825,POINT (16.3381825 48.2086624)
33079222,48.2120473,16.3337067,POINT (16.3337067 48.2120473)
221890042,48.2122618,16.3318081,POINT (16.3318081 48.2122618)
33079232,48.2123246,16.3312798,POINT (16.3312798 48.2123246)
291948941,48.2125007,16.3298846,POINT (16.3298846 48.2125007)
264056404,48.2137669,16.3290349,POINT (16.3290349 48.2137669)
33144928,48.2151392,16.3290549,POINT (16.3290549 48.2151392)
33144906,48.2165037,16.3290586,POINT (16.3290586 48.2165037)
1850015446,48.2280317,16.3364564,POINT (16.3364564 48.2280317)
3337813458,48.2280864,16.3362963,POINT (16.3362963 48.2280864)
64975949,48.2283251,16.3350633,POINT (16.3350633 48.2283251)
393375,48.2283981,16.3346608,POINT (16.3346608 48.2283981)
29048460,48.2284539,16.3341565,POINT (16.3341565 48.2284539)
64975131,48.2285887,16.3330993,POINT (16.3330993 48.2285887)
64975746,48.2287235,16.3322871,POINT (16.3322871 48.2287235)
64975551,48.2272904,16.3313451,POINT (16.3313451 48.2272904)
29048472,48.2264173,16.3308107,POINT (16.3308107 48.2264173)
64971266,48.2257094,16.330349,POINT (16.330349 48.2257094)
50655845,48.2250272,16.3298143,POINT (16.3298143 48.2250272)
33144750,48.2240865,16.3291359,POINT (16.3291359 48.2240865)
33144659,48.2226404,16.3283356,POINT (16.3283356 48.2226404)
33144621,48.2220036,16.3280054,POINT (16.3280054 48.2220036)
92739749,48.2213482,16.3276881,POINT (16.3276881 48.2213482)
33144817,48.2206851,16.327352,POINT (16.327352 48.2206851)
256759891,48.2194575,16.3266206,POINT (16.3266206 48.2194575)
33242217,48.2185309,16.3261857,POINT (16.3261857 48.2185309)
33242197,48.2176314,16.3259382,POINT (16.3259382 48.2176314)
33242098,48.2166983,16.3256772,POINT (16.3256772 48.2166983)
218288749,48.2159814,16.3254745,POINT (16.3254745 48.2159814)
254353386,48.2153059,16.3253168,POINT (16.3253168 48.2153059)
68228729,48.21433,16.3254473,POINT (16.3254473 48.21433)
2285939391,48.2131797,16.3255232,POINT (16.3255232 48.2131797)
24966938,48.2116633,16.3253329,POINT (16.3253329 48.2116633)
378630,48.211218,16.3254075,POINT (16.3254075 48.211218)
378629,48.2106064,16.3252037,POINT (16.3252037 48.2106064)
378642,48.21031,16.3271266,POINT (16.3271266 48.21031)
33079254,48.2109258,16.3272905,POINT (16.3272905 48.2109258)
33079245,48.2114019,16.3273139,POINT (16.3273139 48.2114019)
33079247,48.2119319,16.3274045,POINT (16.3274045 48.2119319)
33079231,48.2126585,16.3272976,POINT (16.3272976 48.2126585)
33079241,48.2134238,16.3272018,POINT (16.3272018 48.2134238)
33174083,48.2142953,16.3272344,POINT (16.3272344 48.2142953)
33144935,48.2152751,16.3272784,POINT (16.3272784 48.2152751)
33144914,48.2165075,16.3273411,POINT (16.3273411 48.2165075)
378721,48.2188901,16.3516278,POINT (16.3516278 48.2188901)
378720,48.2177309,16.3498011,POINT (16.3498011 48.2177309)
27028195,48.2174043,16.3481679,POINT (16.3481679 48.2174043)
378701,48.2174711,16.3462268,POINT (16.3462268 48.2174711)
33182070,48.2171655,16.3454627,POINT (16.3454627 48.2171655)
378700,48.2168208,16.3445443,POINT (16.3445443 48.2168208)
33144376,48.2169851,16.3436531,POINT (16.3436531 48.2169851)
33144412,48.2170754,16.3432089,POINT (16.3432089 48.2170754)
378699,48.2172288,16.3424207,POINT (16.3424207 48.2172288)
33143911,48.2175079,16.3404235,POINT (16.3404235 48.2175079)
33144821,48.2176641,16.3392305,POINT (16.3392305 48.2176641)
33144826,48.2176912,16.3375506,POINT (16.3375506 48.2176912)
33144831,48.2176101,16.3370054,POINT (16.3370054 48.2176101)
264055536,48.2178882,16.3353567,POINT (16.3353567 48.2178882)
1630416833,48.2181482,16.332379,POINT (16.332379 48.2181482)
685166,48.2181904,16.3307416,POINT (16.3307416 48.2181904)
2423397431,48.2085666,16.338893,POINT (16.338893 48.2085666)
33079213,48.2103939,16.3394082,POINT (16.3394082 48.2103939)
33079212,48.2111003,16.3395185,POINT (16.3395185 48.2111003)
33079211,48.2119851,16.3397036,POINT (16.3397036 48.2119851)
33143803,48.2131631,16.340235,POINT (16.340235 48.2131631)
33143763,48.2141297,16.3407546,POINT (16.3407546 48.2141297)
2455074398,48.2151315,16.3413063,POINT (16.3413063 48.2151315)
685164,48.2163426,16.34195,POINT (16.34195 48.2163426)
33144414,48.2183536,16.3429038,POINT (16.3429038 48.2183536)
33345332,48.2230945,16.3488929,POINT (16.3488929 48.2230945)
1629378075,48.2245257,16.3496756,POINT (16.3496756 48.2245257)
378727,48.2250679,16.3498014,POINT (16.3498014 48.2250679)
392847,48.2260095,16.3500044,POINT (16.3500044 48.2260095)
33182054,48.2158281,16.3510587,POINT (16.3510587 48.2158281)
33182053,48.2159657,16.3497361,POINT (16.3497361 48.2159657)
33182052,48.2161153,16.348099,POINT (16.348099 48.2161153)
33182051,48.2163553,16.3457934,POINT (16.3457934 48.2163553)
33182066,48.2163892,16.3454181,POINT (16.3454181 48.2163892)
33182067,48.2163706,16.3450755,POINT (16.3450755 48.2163706)
33144419,48.2180665,16.3445798,POINT (16.3445798 48.2180665)
28982569,48.224962,16.3545198,POINT (16.3545198 48.224962)
1381612052,48.2244517,16.354067,POINT (16.354067 48.2244517)
1381612048,48.2237689,16.3538229,POINT (16.3538229 48.2237689)
1381612043,48.2228436,16.3534481,POINT (16.3534481 48.2228436)
2521182222,48.222307,16.3532022,POINT (16.3532022 48.222307)
2382977342,48.2220814,16.3530766,POINT (16.3530766 48.2220814)
2507395450,48.2215028,16.3528206,POINT (16.3528206 48.2215028)
2507395454,48.2209994,16.3525928,POINT (16.3525928 48.2209994)
75605497,48.2179014,16.351368,POINT (16.351368 48.2179014)
33182055,48.2171663,16.3512494,POINT (16.3512494 48.2171663)
2457966745,48.2149257,16.3509955,POINT (16.3509955 48.2149257)
33345291,48.2275145,16.3386443,POINT (16.3386443 48.2275145)
251523470,48.227454,16.3389088,POINT (16.3389088 48.227454)
33345293,48.226844,16.3406794,POINT (16.3406794 48.226844)
33344817,48.2266087,16.3422558,POINT (16.3422558 48.2266087)
33344816,48.2264915,16.3435543,POINT (16.3435543 48.2264915)
2423479559,48.2263246,16.3443157,POINT (16.3443157 48.2263246)
33344812,48.2256704,16.3459567,POINT (16.3459567 48.2256704)
251207329,48.2254393,16.347338,POINT (16.347338 48.2254393)
394751,48.2253177,16.3480705,POINT (16.3480705 48.2253177)
26405238,48.224925,16.3507849,POINT (16.3507849 48.224925)
28982559,48.2247717,16.3516697,POINT (16.3516697 48.2247717)
28982560,48.2246537,16.3525355,POINT (16.3525355 48.2246537)
33344336,48.2245671,16.3531711,POINT (16.3531711 48.2245671)
33144747,48.2236691,16.3301183,POINT (16.3301183 48.2236691)
26405248,48.2233015,16.3309683,POINT (16.3309683 48.2233015)
33144997,48.2229157,16.3316878,POINT (16.3316878 48.2229157)
162796578,48.2225836,16.33235,POINT (16.33235 48.2225836)
392224,48.2221545,16.3333166,POINT (16.3333166 48.2221545)
33144947,48.2217078,16.3343852,POINT (16.3343852 48.2217078)
33144941,48.2212569,16.3354187,POINT (16.3354187 48.2212569)
264055540,48.2207485,16.3366029,POINT (16.3366029 48.2207485)
33144700,48.2199786,16.3320632,POINT (16.3320632 48.2199786)
33144596,48.2206023,16.3323449,POINT (16.3323449 48.2206023)
33144644,48.2211676,16.3327043,POINT (16.3327043 48.2211676)
393924,48.2229689,16.3340208,POINT (16.3340208 48.2229689)
33144487,48.2238029,16.3347658,POINT (16.3347658 48.2238029)
33144069,48.2245295,16.3354038,POINT (16.3354038 48.2245295)
33345303,48.2252897,16.3360885,POINT (16.3360885 48.2252897)
33345298,48.2257525,16.3365119,POINT (16.3365119 48.2257525)
33345285,48.2263391,16.3370332,POINT (16.3370332 48.2263391)
33345286,48.2257474,16.3351453,POINT (16.3351453 48.2257474)
33345304,48.224689,16.3372428,POINT (16.3372428 48.224689)
33144577,48.224254,16.3380685,POINT (16.3380685 48.224254)
33144572,48.2237309,16.3390945,POINT (16.3390945 48.2237309)
33144566,48.223573,16.3397192,POINT (16.3397192 48.223573)
33144560,48.2234056,16.3404827,POINT (16.3404827 48.2234056)
33143829,48.2231494,16.3417921,POINT (16.3417921 48.2231494)
33144494,48.2230866,16.3429429,POINT (16.3429429 48.2230866)
33144497,48.2230317,16.343871,POINT (16.343871 48.2230317)
33144500,48.2231404,16.3444459,POINT (16.3444459 48.2231404)
33344806,48.2234684,16.3457224,POINT (16.3457224 48.2234684)
33344805,48.2237373,16.3468177,POINT (16.3468177 48.2237373)
33344804,48.2237342,16.3477633,POINT (16.3477633 48.2237342)
392442,48.224684,16.3479451,POINT (16.3479451 48.224684)
393373,48.2262225,16.3482783,POINT (16.3482783 48.2262225)
33144633,48.2206395,16.3349181,POINT (16.3349181 48.2206395)
33144427,48.2219915,16.3360195,POINT (16.3360195 48.2219915)
3956260281,48.2228454,16.336713,POINT (16.336713 48.2228454)
